source,target
Andrew Adamson,Hue Rhodes
Lawrence Kasdan,Robert Duvall
Stephen Norrington,Fatih Akin
NA,Marcio Garcia
Beeban Kidron,Ol Parker
Jason Friedberg,Mike Judge
Martin Scorsese,Dan Perri
NA,Craig Moss
James L. Brooks,Patricia Cardoso
Pitof,Robert Cary
Brad Silberling,Adam Rapp
Stephen Hopkins,Mateo Gil
Marc Lawrence,Collin Schiffli
Danny Boyle,James Nunn
Richard LaGravenese,David Jacobson
Lasse Hallström,Jaume Balagueró
Frank Darabont,Nicholas Fackler
Sanaa Hamri,Rick Famuyiwa
Alexander Payne,Jon Poll
Victor Salva,Katja von Garnier
Dan Scanlon,Hue Rhodes
Rachel Talalay,Martin Weisz
Laurence Dunmore,Clare Kilner
Julie Anne Robinson,Meiert Avis
Hark Tsui,Darren Lynn Bousman
Alexander Payne,Carroll Ballard
Jonathan Mostow,Larry Clark
Ericson Core,Antonio Simoncini
Sergio Leone,Jon Hess
JeanJacques Annaud,Karim Aïnouz
Ronny Yu,Darren Lynn Bousman
Michael Winterbottom,Julien Temple
Jay Russell,David F. Sandberg
Ringo Lam,James Foley
Uli Edel,James Ivory
Alan Shapiro,John Cornell
Michael Pressman,Gregory Jacobs
Hoyt Yeatman,John Murlowski
Moustapha Akkad,Carol Reed
John Singleton,Agnieszka WojtowiczVosloo
Stephen Norrington,Barry Skolnick
Angela Robinson,Bob Gosse
Julie Anne Robinson,Joby Harold
Bonnie Hunt,Gina PrinceBythewood
James Wan,Hunter Richards
Tim Story,Craig Moss
Daniel Sackheim,William Bindley
Colin Strause,Tamara Jenkins
Marc Forster,Jehane Noujaim
Chris Weitz,Harald Reinl
Joe Johnston,Zackary Adler
Richard Lester,George Roy Hill
Jessie Nelson,Jim Fall
Nathan Greno,Vera Farmiga
David Frankel,Mickey Liddell
Kaige Chen,Jekyu Kang
Richard Attenborough,Paul Mazursky
Tyler Perry,Rick Famuyiwa
Bille Woodruff,Peter Cousens
Andrew Adamson,Carlos Carrera
Steve Beck,Vadim Perelman
Larry Charles,Fenton Bailey
Richard Kelly,Michael Chapman
Michael Bay,Tanner Beard
Boaz Yakin,James DeMonaco
Janusz Kaminski,Jez Butterworth
Jeffrey W. Byrd,David Raynr
Rupert Wyatt,Karen Moncrieff
John Hamburg,Tom Gormican
Hark Tsui,Tuck Tucker
Hoyt Yeatman,Larry Clark
David Fincher,Max Joseph
Paul Greengrass,Alice Wu
John Singleton,DJ Pooh
Mark A.Z. Dippé,Ekachai Uekrongtham
Rob Letterman,Phil Claydon
Todd Phillips,Alan Jacobs
John Frankenheimer,Fred Zinnemann
Harold Ramis,David Gelb
Catherine Hardwicke,Masayuki Ochiai
Alfred Hitchcock,Jack Smight
Neil Burger,Anthony C. Ferrante
George A. Romero,Peter Stebbings
Russell Mulcahy,Ol Parker
Steven Seagal,Stephen Milburn Anderson
NA,John Murlowski
Charles HermanWurmfeld,Danny Leiner
Mira Nair,John Ottman
Thomas Bezucha,Christian E. Christiansen
Jay Chandrasekhar,Zach Braff
Gus Van Sant,Steve James
James Gray,Abel Ferrara
Jeff Wadlow,Stewart Hendler
George A. Romero,Robert Eggers
Jonathan Demme,Edward Burns
Brad Furman,Daniel Barber
David R. Ellis,Eli Roth
Alfred Hitchcock,Michel Hazanavicius
Lawrence Guterman,Jill Sprecher
Nora Ephron,Marc Bennett
Anton Corbijn,James Ivory
Lawrence Guterman,Darren Stein
Dan Scanlon,Jonathan Wacks
David McNally,J.S. Cardone
David Cronenberg,Richard E. Grant
JeanMarie Poiré,Hart Bochner
Chris Carter,Eric Blakeney
Terence Young,Guy Hamilton
Walt Becker,Frank Capra
Richard Lester,Fred Zinnemann
Lasse Hallström,Peter Medak
Steven Soderbergh,Victor Nunez
Andrzej Bartkowiak,Johnnie To
Jay Russell,Randall Miller
Steve Miner,Gary Sherman
David Leland,Sarik Andreasyan
NA,Hayley Cloake
Richard Fleischer,James Fargo
Oliver Stone,David Duchovny
Brian Robbins,Randall Miller
Milos Forman,Sylvio Tabet
James Cameron,Adam Green
Shawn Levy,David Duchovny
Michael CatonJones,Todd Solondz
Roland Emmerich,Daniel Stamm
Fernando Meirelles,Olivier Assayas
Tim Story,Tim Boxell
Ron Underwood,Tim Heidecker
Andrew Stanton,Jeff Garlin
Donald Petrie,Don Coscarelli
Hugh Wilson,Alan Metter
George Tillman Jr.,Dan Fogelman
Paul McGuigan,James Nunn
Ivan Reitman,Louis C.K.
Anne Fletcher,Anna Boden
Rick Friedberg,Hal Needham
Jonathan Levine,Peter Sollett
Donald Petrie,Brian Dannelly
Daniel Sackheim,Steve Gomer
Katsuhiro Ôtomo,Sidney J. Furie
Sam Raimi,Bruce Campbell
Baltasar Kormákur,Frank LaLoggia
Nanette Burstein,Neal Brennan
Carl Rinsch,Tim Hunter
Richard Donner,Elia Kazan
Rod Lurie,Christine Jeffs
James Wan,Brad J. Silverman
Michael Apted,John Simpson
Peter Lord,Jon Wright
Katt Shea,Tom Green
Ridley Scott,Maggie Carey
John Moore,Whit Stillman
David McNally,Klaus Menzel
Chris Koch,Bruce Paltrow
Dennis Dugan,Darren Stein
Gavin Hood,Ralph Ziman
NA,Robert Rossen
Tony Gilroy,Jon Gunn
Scott Hicks,Kriv Stenders
Mike Mitchell,Remo
Teddy Chan,TungShing Yee
Alfred Hitchcock,William Bindley
John Woo,Jon Gunn
John Schultz,Tom Ford
Greg Mottola,Nicole Holofcener
Jason Friedberg,Chuck Sheetz
Ben Stiller,Leslye Headland
Tobe Hooper,Gary Sherman
NA,Elia Kazan
Donald Petrie,Fenton Bailey
Colin Trevorrow,Jeff Garlin
Joe Johnston,Hunter Richards
Brian Helgeland,Charles Matthau
M. Night Shyamalan,Noah Buschel
Tom Dey,Frank Perry
Stephen Norrington,Kevin Carraway
Anne Fletcher,Keith Parmer
John Landis,John Cameron Mitchell
Rob Cohen,Steven R. Monroe
Craig Mazin,Taedong Park
Joseph Ruben,James Melkonian
Alister Grierson,James DeMonaco
John Duigan,Mark Piznarski
Reginald Hudlin,Guy Hamilton
David Leland,Joby Harold
Anand Tucker,Jim Goddard
Kevin Bray,Michael Tiddes
Quentin Tarantino,Alice Wu
Lee Daniels,Vondie CurtisHall
Andrew Bergman,Patrick Stettner
Jesse Dylan,Michael Tiddes
Patricia Riggen,Sam Miller
Michael Winterbottom,Jake Schreier
Ron Howard,Richard Ayoade
Graham Annable,Nick Murphy
Andrew Morahan,Stuart Gordon
Clint Eastwood,Ed GassDonnelly
Danny Pang,David Lam
Lana Wachowski,Maggie Carey
Darren Aronofsky,Bob Giraldi
Lee Toland Krieger,Lorene Scafaria
JeanPierre Jeunet,Christophe Ali
Chris Columbus,Marielle Heller
Peter Howitt,Louis Morneau
Michael Dinner,Randal Kleiser
NA,Brian Yuzna
Alejandro G. Iñárritu,Noah Buschel
John G. Avildsen,Guy Hamilton
Nicholas Stoller,Rodrigo García
Duncan Jones,Tony Krantz
Joe Dante,John Ford
Tom Shadyac,Rebecca Miller
Carl Franklin,Christopher M. Bessette
John Gray,Louis Morneau
Brad Bird,Adam Goldberg
Roger Spottiswoode,Robert Mulligan
Mel Brooks,Randal Kleiser
Courtney Solomon,Rowdy Herrington
Rob Reiner,Lisa Cholodenko
Sean Anders,Eli Craig
John Frankenheimer,Xavier Beauvois
Courtney Solomon,Jim Goddard
Mark A.Z. Dippé,Ernie Barbarash
Jason Friedberg,Eric Bross
John McTiernan,David Duchovny
Spike Lee,George Jackson
John Landis,James Cox
Charles Stone III,Theodore Witcher
Dan Scanlon,Steve Buscemi
Les Mayfield,Jason Eisener
George Gallo,Ed Decter
Paul Abascal,John Bonito
Richard LaGravenese,Jake Goldberger
Alexandre Aja,Maïwenn
Jason Friedberg,John Putch
Gregor Jordan,Fede Alvarez
Doug Liman,Adam Carolla
Andrew Morahan,Timothy Hines
Tom Shadyac,James Mottern
NA,Brad Copeland
JeanJacques Annaud,Monte Hellman
Uwe Boll,Fatih Akin
Michael Haneke,Andrea Di Stefano
David Soren,Brad Copeland
Walter Salles,Gabriela Tagliavini
Ridley Scott,Steve Taylor
Karey Kirkpatrick,Dan Rush
Bruce McCulloch,Stéphane Aubier
Peter Berg,David Boyd
Roger Donaldson,Kelly Reichardt
D.J. Caruso,Will Canon
Rob Reiner,Gavin Wiesen
Joe Dante,Anthony Hickox
Steve Carr,Clark Gregg
Brian Levant,John Sturges
Stephen Herek,Scott Foley
Gordon Chan,Robert C. Cooper
Richard Shepard,James Nunn
Agustín Díaz Yanes,Jon Kasdan
Alex Proyas,Maggie Greenwald
Marcos Siega,Ethan Maniquis
Sidney Lumet,Bob Saget
NA,Pascal Arnold
Joseph Ruben,Richard Brooks
Spike Lee,Don Coscarelli
Luke Greenfield,Dan Gilroy
Frank Oz,Jerry Rees
Luis Llosa,Sylvio Tabet
Marcos Siega,William Dear
NA,Jamal Hill
Tony Scott,Elia Kazan
Renny Harlin,John Murlowski
David McNally,Jeff Franklin
John Frankenheimer,Vicky Jewson
Gavin O'Connor,David Schwimmer
Fred Durst,Mark Brown
Bob Clark,Douglas Aarniokoski
Ron Underwood,Larry Clark
Oliver Hirschbiegel,Darren Stein
Stanley Kubrick,George Sidney
Sydney Pollack,Michael D. Sellers
Fred Durst,Daisy von Scherler Mayer
Christopher McQuarrie,Adam Goldberg
Jonathan Liebesman,Adrienne Shelly
Scott Hicks,Anna Boden
Anton Corbijn,Julien Temple
Paul Greengrass,Vera Farmiga
Donald Petrie,Billy Wilder
Paul King,Jeremy Brock
John Whitesell,Jeremy Saulnier
Jeff Tremaine,Josh Schwartz
Robert Luketic,Jill Sprecher
Peter Lord,Nick Murphy
Roland Emmerich,David Boyd
Ang Lee,Sally Potter
Andy Fickman,Jay Levey
Joe Carnahan,Philip Saville
Martin Campbell,Rob McKittrick
Mikael Håfström,Clark Gregg
Baltasar Kormákur,Peter Stebbings
Mike Mitchell,Steve Buscemi
Douglas McGrath,Abel Ferrara
Steven Spielberg,Adam Jay Epstein
Gary Shore,Brandon Cronenberg
Rian Johnson,Stanley Kramer
Gil Kenan,Andrea Arnold
Jeff Wadlow,Rob Schmidt
JeanPierre Jeunet,Leos Carax
Stephen Frears,Jon Wright
Robert Altman,Nicolas Winding Refn
Brad Furman,Shane Meadows
Paul W.S. Anderson,Dominic Burns
Brad Bird,Jonathan Kesselman
NA,David M. Matthews
Brett Ratner,Bradley Parker
Shekhar Kapur,Tom Kalin
Rod Lurie,Roger Avary
George A. Romero,Isabel Coixet
Don Bluth,Leslye Headland
Richard LaGravenese,Richard Glatzer
Robert Harmon,Robert Iscove
Steve Carr,Enrique Begne
Wolfgang Petersen,Rich Cowan
Peter Segal,James Dodson
Niels Arden Oplev,Claude Chabrol
Shawn Levy,David Worth
George Armitage,Joe Chappelle
Janusz Kaminski,Jason Bateman
David Gordon Green,Michael Tiddes
Robert Altman,Stephan Elliott
Woody Allen,Stewart Raffill
James McTeigue,Paul Andrew Williams
Jon Turteltaub,Deryck Broom
Rob Minkoff,Dave Rodriguez
Stephen Herek,Allison Anders
David R. Ellis,Stiles White
Anne Fontaine,David Moreau
Kevin Bray,DJ Pooh
Jon Turteltaub,Jamie Babbit
Rob Reiner,Daniel Petrie Jr.
Joel Coen,Edward Burns
George Miller,Jonathan Kesselman
Tyler Perry,Salim Akil
Jeff Nichols,Phil Traill
Clint Eastwood,Ted Post
Bille Woodruff,Michael Schultz
Todd Haynes,Stefan Ruzowitzky
Roger Donaldson,Richard Boddington
James Wong,J.S. Cardone
Mike Leigh,Julien Temple
CostaGavras,Fenton Bailey
Glen Morgan,John Blanchard
Rob Bowman,Jill Sprecher
Shawn Levy,James David Pasternak
Rod Lurie,Alan Jacobs
Richard Attenborough,Arthur Hiller
Charlie Kaufman,Julien Temple
Kasi Lemmons,Gina PrinceBythewood
Andrey Konchalovskiy,Kelly Reichardt
Rob Reiner,Jack Sholder
Nelson McCormick,Mark Christopher
Chris Columbus,James Mottern
Kirk De Micco,Adrienne Shelly
Alejandro Amenábar,Bobby Roth
David Frankel,John Gulager
Kenny Ortega,Nathan Frankowski
Walter Salles,Andrucha Waddington
Lewis Gilbert,Peter R. Hunt
Michael Winterbottom,David Schwimmer
Bryan Singer,Lori Petty
Mark A.Z. Dippé,Charles Matthau
Malcolm D. Lee,Risa Bramon Garcia
James Wong,Eli Craig
Martin Scorsese,Marc Levin
John Stockwell,Vicky Jewson
Mel Brooks,Carroll Ballard
NA,Robert M. Young
Todd Graff,Dan Harris
NA,Steve Buscemi
Scott Derrickson,Anthony O'Brien
Anne Fletcher,George Ratliff
Rawson Marshall Thurber,Duane Journey
Steven Spielberg,Ti West
Paul Verhoeven,Frank Lotito
Stephen Norrington,Robby Henson
Taylor Hackford,Matthew Bright
Roger Michell,Michael Cuesta
Steven Soderbergh,Rebecca Miller
George Miller,Matthew R. Anderson
Victor Salva,Jason Bateman
Cyrus Nowrasteh,Gillian Armstrong
Nora Ephron,Lance Kawas
Moustapha Akkad,Guy Hamilton
Vincenzo Natali,Roland Suso Richter
Benson Lee,Preston A. Whitmore II
Rob Reiner,Enrique Begne
Craig R. Baxley,Michael Schultz
Irwin Winkler,Christopher M. Bessette
Dwight H. Little,Eric Bross
John Lasseter,Charlie Levi
Raja Gosnell,Qasim Basir
Sydney Pollack,Phil Morrison
Terence Young,Klaus Menzel
Jonathan Glazer,Eric Bress
Peter Chelsom,Alex Cox
Chris Butler,John Maclean
Richard Linklater,Scott Marshall
Robert Altman,Gilles PaquetBrenner
David Frankel,Enrique Begne
John Carpenter,Andrew Erwin
Brian Levant,Patricia Cardoso
Jerry Jameson,Jake Goldberger
Peter Sohn,Randall Rubin
Michael Lehmann,Francesca Gregorini
Peter Howitt,Eli Craig
Bob Clark,John Waters
Patrick Read Johnson,John Huston
Ronny Yu,Tim Chambers
Richard Benjamin,Patricia Rozema
Tim Story,Robert M. Young
David Cronenberg,Jonas Åkerlund
Jonathan Mostow,Efram Potelle
David Fincher,Goran Dukic
NA,Adam Jay Epstein
Peter Hyams,François Truffaut
Renny Harlin,Maggie Greenwald
Taylor Hackford,Christian Sesma
Andrew Niccol,Agnieszka WojtowiczVosloo
Callie Khouri,Valeri Milev
Robert Altman,Franco Zeffirelli
Courtney Solomon,Gerry Lively
Randall Wallace,Alex Rivera
Andy Fickman,Mora Stephens
Michael Dinner,Floyd Mutrux
Antoine Fuqua,Michael Herz
McG,Allison Burnett
Martin Scorsese,Lori Petty
Guillaume Canet,Claude Chabrol
Mira Nair,Ruairi Robinson
Martin Scorsese,Charlie Levi
Andrew Niccol,Henry Hobson
Tate Taylor,Nicole Holofcener
John Carpenter,Mike Figgis
Katt Shea,Brendan Malloy
Matthew Vaughn,Nick Tomnay
Michael Lembeck,Stanley Donen
James Wan,Brian Dorton
James Cameron,Travis Romero
Rob Minkoff,Craig Johnson
Jon Amiel,Tanner Beard
Sean Penn,Marc Bennett
Kasi Lemmons,Darrell Roodt
Richard Lester,Louis C.K.
Brian Levant,Lance Kawas
Lewis Gilbert,Guy Hamilton
Susanne Bier,Michael Mayer
Patrick Read Johnson,Duane Journey
Paul Verhoeven,Jay Alaimo
Barry Cook,Bill Muir
Paul Feig,Chris Paine
John Stockwell,DJ Pooh
Simon West,Tara Subkoff
Steve Oedekerk,Louis C.K.
Andrew Niccol,Gavin Wiesen
James Cameron,Amy Holden Jones
NA,Ben Lewin
John Moore,Rebecca Miller
Andrey Konchalovskiy,Sally Potter
David McNally,Susan Seidelman
Rod Lurie,Enrique Begne
Gary Ross,Brad J. Silverman
Kevin Bray,Benny Boom
Gus Van Sant,Fatih Akin
Kevin Reynolds,Brian Dorton
Tony Goldwyn,Michael Patrick Jann
Stephen Gaghan,Christopher Morris
Ben Stiller,Jeff Garlin
Craig Mazin,Deb Hagan
Stephen Sommers,C. Jay Cox
Allen Hughes,Deb Hagan
Nancy Walker,Franklin J. Schaffner
Brandon Camp,Michael Polish
Tran Anh Hung,ChaoBin Su
Katsuhiro Ôtomo,Franklin J. Schaffner
David Gordon Green,Jim Mickle
Paul Michael Glaser,Guy Hamilton
Mike Mitchell,Ramaa Mosley
Laurent Tirard,François Ozon
Alan Shapiro,Peter Faiman
Fernando Meirelles,Martyn Pick
Tyler Perry,Dario Argento
Rowdy Herrington,Gilles PaquetBrenner
Rich Moore,Ramaa Mosley
Tobe Hooper,Gary Sinyor
Alexandre Aja,Cédric Klapisch
NA,Efram Potelle
John G. Avildsen,Mike Mayhall
Ben Falcone,Nicole Holofcener
Dennis Dugan,James Mottern
Keenen Ivory Wayans,Danny Perez
Jonathan Demme,Vera Farmiga
Chris Noonan,Richard E. Grant
Woody Allen,Shari Springer Berman
Bonnie Hunt,Richard Kwietniowski
Eric Brevig,Tony Krantz
John Wells,Ferzan Ozpetek
Mark Rosman,John Erick Dowdle
Mel Brooks,Allan Arkush
Andrew Adamson,Eric Schaeffer
Rob Cohen,Christopher Scott Cherot
Jacques Perrin,Carlos Carrera
James Wong,Mark Griffiths
Robert Harmon,Kenneth Lonergan
Tyler Perry,David E. Talbert
Bonnie Hunt,Mel Smith
Chris Koch,Brendan Malloy
James Gray,Michael Winner
Len Wiseman,Bradley Parker
Ron Maxwell,Michael Landon Jr.
Mira Nair,Rakesh Roshan
Brian Robbins,Robby Henson
Bonnie Hunt,Katherine Dieckmann
James L. Brooks,José Luis Valenzuela
Stephen Hopkins,Lluís Quílez
John Frankenheimer,Lance Kawas
David Gordon Green,Louis C.K.
Joe Nussbaum,Josh Schwartz
Laurent Tirard,Claude Miller
Mira Nair,Vincent Gallo
John Milius,Alex Ranarivelo
Gordon Chan,Johnnie To
Rob Cohen,Lance McDaniel
Daniel Lee,ChiaLiang Liu
Hark Tsui,Émile Gaudreault
John Hillcoat,Kriv Stenders
Joseph Ruben,Danny Provenzano
Walt Becker,Tyler Oliver
Joel Coen,James Ponsoldt
Karyn Kusama,Francesca Gregorini
NA,Stefan C. Schaefer
Raja Gosnell,Greg Berlanti
Mario Van Peebles,Jim Issa
Shana Feste,James DeMonaco
Mel Brooks,Alan Metter
Carter Smith,Emily Young
Gordon Chan,Mike Figgis
Ivan Reitman,Pete Jones
William Malone,Fatih Akin
Werner Herzog,Kris Isacsson
NA,Blair Erickson
Andrzej Bartkowiak,Derick Martini
Rod Lurie,Benni Diez
NA,Kat Coiro
Michael Apted,Anna Mastro
Clare Kilner,Christopher Cain
Neil Burger,Douglas Cheek
Geoff Murphy,Michael Herz
Mira Nair,Gurinder Chadha
Bobby Farrelly,Tim Hunter
David Cronenberg,Brandon Cronenberg
Uli Edel,Álex de la Iglesia
J.C. Chandor,Léa Pool
NA,C. Jay Cox
David Mamet,Duncan Tucker
Alejandro Monteverde,Dean Wright
Nicholas Ray,John Cromwell
Ronald Neame,Christopher Cain
Jon Amiel,Paul Donovan
Jim Sheridan,Brandon Cronenberg
NA,Rich Christiano
Spike Lee,Marcio Garcia
Hayao Miyazaki,Henry Koster
Roger Kumble,Mark Griffiths
Henry Joost,Marcus Dunstan
Chris Koch,Robert Ben Garant
Sam Raimi,Eric Mendelsohn
Mel Brooks,Stanley Kramer
Oliver Stone,Amy Holden Jones
Roman Polanski,John Simpson
Kevin Bray,John Murlowski
Erik White,Christopher Erskin
Andy Fickman,Francesca Gregorini
Mark Pellington,Edward Burns
Kirk Jones,Vicky Jewson
Josh Trank,Stefan C. Schaefer
Jay Roach,Greg Berlanti
Ridley Scott,Gregory Widen
Katt Shea,Jason Connery
David Fincher,Tom DiCillo
Rowan Joffe,Julian Gilbey
John Gray,Mark Young
Jeremy Leven,Michael Winner
Simon Wincer,Charles Adelman
Callie Khouri,Tim Chambers
Jon Amiel,Jay Alaimo
Boaz Yakin,Jesse Peretz
John Duigan,Jim Issa
Kevin Donovan,Hue Rhodes
Peter Howitt,Karen Moncrieff
Mike Bigelow,Linda Mendoza
Tran Anh Hung,Takashi Yamazaki
William Bindley,Michael Polish
Steve Carr,Jeff Garlin
Carl Franklin,Francesca Gregorini
Penny Marshall,Patricia Cardoso
Rupert Wyatt,Gia Coppola
Adrian Lyne,Susan Seidelman
Will Gluck,Benh Zeitlin
David R. Ellis,John Gulager
RZA,TungShing Yee
Kevin Costner,Paul Donovan
Josef Rusnak,Abel Ferrara
Mick Jackson,Gillian Robespierre
CostaGavras,Tim Heidecker
Robert Harmon,Peter Care
Bryan Singer,Drake Doremus
Vicente Amorim,Joe Cornish
Rod Lurie,Marielle Heller
Scott Hicks,Analeine Cal y Mayor
Stephen Daldry,Karim Aïnouz
Cameron Crowe,Pete Jones
Steven Seagal,Brian Caunter
M. Night Shyamalan,Jacob Aaron Estes
Eric Leighton,Bill Benenson
Steven Spielberg,Eric Mendelsohn
Antoine Fuqua,Robert M. Young
Jonathan Lynn,Billy Wilder
Michel Gondry,Tommy Oliver
Joe Roth,Leslie Small
JeanMarie Poiré,Jeff Franklin
Gary Winick,Douglas Trumbull
Steven Brill,David Caffrey
Joel Coen,Noah Buschel
Julie Anne Robinson,Avi Nesher
Hugh Wilson,Frank LaLoggia
Mark A.Z. Dippé,Kevin Carraway
Barry Levinson,Rich Cowan
Mel Gibson,Russell Friedenberg
Steven Shainberg,Antonia Bird
Chuck Russell,Richard Schenkman
Gary Nelson,Stanley Kramer
Lana Wachowski,Michael Roemer
Brian TrenchardSmith,Mark Rydell
Xavier Gens,Philip Saville
Jonathan Liebesman,Patrick Gilles
Mark Dindal,Richard Schenkman
Lee Daniels,DJ Pooh
John R. Leonetti,David F. Sandberg
John Boorman,Ken Annakin
Hugh Wilson,Analeine Cal y Mayor
Werner Herzog,Michael Corrente
Joseph Sargent,Martin Lawrence
Mel Brooks,James Frawley
Tim Johnson,Matt Walsh
Stephen Daldry,Dagur Kári
Hal Needham,Darren Lynn Bousman
Barbra Streisand,Max Mayer
Peter Farrelly,Carroll Ballard
Vicente Amorim,Brian Henson
Rob Cohen,Paul Bartel
James Mangold,Ryan Smith
Simon Wincer,Tom Schulman
David Raynr,Danny Leiner
Sidney Lumet,Michael Winner
Eric Valette,Floria Sigismondi
David Lynch,Bobby Roth
Laurent Tirard,Cédric Klapisch
Steven Seagal,Alice Wu
Kevin Spacey,Michael Winner
Michael O. Sajbel,Scott Marshall
Ryûhei Kitamura,Randal Kleiser
David O. Russell,Maggie Greenwald
John Carpenter,Tommy Lee Wallace
Anne Fletcher,Eric Styles
Robert Wise,Billy Wilder
Neil Marshall,Paul Andrew Williams
Alfred Hitchcock,Gerald Potterton
Clint Eastwood,Adam Carolla
George Gallo,Andrew Wilson
Terrence Malick,Chris Eyre
Spike Lee,Anthony O'Brien
Victor Salva,Arie Posin
Ben Stassen,Charles Robert Carner
NA,Patrick Gilles
Nora Ephron,Dave Rodriguez
David Lean,Sam Peckinpah
Craig R. Baxley,Guy Hamilton
Colin Trevorrow,Marianna Palka
David R. Ellis,Darin Scott
Stephen Frears,Thorbjørn Christoffersen
Jason Friedberg,Michael Tiddes
Kevin Tancharoen,Timothy Björklund
Barbra Streisand,Jill Sprecher
NA,Warren Sheppard
Mike Nichols,Douglas Trumbull
Robert Schwentke,Quentin Dupieux
David Lynch,Monte Hellman
Tom Tykwer,Ben Wheatley
Terry George,Olatunde Osunsanmi
George Miller,Gregory Widen
Fred Durst,Robert Moresco
John Stockwell,John Murlowski
Marc Lawrence,Qasim Basir
Gordon Chan,Anthony Hickox
Kevin Reynolds,Kristin Rizzo
Michael Cimino,Marcio Garcia
Roman Polanski,Tara Subkoff
Scott Hicks,Peter H. Hunt
Nelson McCormick,Ari Sandel
Shawn Levy,Jerome Elston Scott
Lance Hool,Lorene Scafaria
Gina PrinceBythewood,Nicholas Jarecki
Mark L. Lester,Franklin J. Schaffner
Doug Liman,Jon Shear
Brian Robbins,Adam Green
Spike Lee,Bob Giraldi
Steven E. de Souza,Leos Carax
Jon Amiel,David DeCoteau
David Fincher,Rachel Goldenberg
Renny Harlin,Catherine Jelski
Richard Fleischer,King Vidor
Colin Trevorrow,Lynn Shelton
Brian Levant,Adam Carolla
Martha Coolidge,Jeremy Saulnier
Bryan Singer,Dan Reed
Bruce Hunt,Bill Duke
Peter Kosminsky,Léa Pool
Michael Apted,Stuart Hazeldine
Vincenzo Natali,Denys Arcand
Ruben Fleischer,Henry Bean
Bruce Beresford,Jason Alexander
Julian Schnabel,Alain Resnais
John Landis,Henry King
Bill Condon,Paul Fierlinger
Sidney Lumet,Kevin Brodie
Vadim Perelman,Bob Dolman
David Dobkin,Dave Payne
Wes Craven,Will Canon
Robert Schwentke,Cassandra Nicolaou
Michael Haneke,Claude Chabrol
Walt Becker,Emily Dell
David Frankel,Rich Cowan
Stephen Frears,Harmage Singh Kalirai
Mike Nichols,Nick Tomnay
Keenen Ivory Wayans,Jamie Babbit
Mark A.Z. Dippé,Michael Jai White
Russell Mulcahy,Jason Stone
Paul Michael Glaser,Gabriela Tagliavini
Rowan Joffe,Daniel Barber
Michael Dinner,Shari Springer Berman
Henry Joost,Nicole Holofcener
Thor Freudenthal,Anna Mastro
James Bridges,John Cameron Mitchell
David Lean,Michael Curtiz
Richard Linklater,Mike Flanagan
Peter Hewitt,Derick Martini
Bob Clark,James Frawley
Miguel Arteta,Michael Tiddes
John Gray,Jon Gunn
Christopher Cain,Michael Polish
Olivier Dahan,Michael Cuesta
John Milius,Scott Ziehl
Rod Lurie,Tara Subkoff
David Wain,Robert Lee King
Oliver Stone,Sharon Greytak
Lee Daniels,Nnegest Likké
John Carpenter,Laurie Collyer
Kenneth Johnson,Neal Brennan
Brian Levant,James David Pasternak
Todd Field,Paul Schrader
David Koepp,Tara Subkoff
Uwe Boll,Timothy Woodward Jr.
Jack Smight,Vincent Gallo
Miguel Arteta,Jeremy Saulnier
John Glen,Dominic Burns
John Gatins,Peter H. Hunt
Andrew Fleming,Russell Holt
Kevin Allen,Don Coscarelli
Tim Hill,Bradley Parker
Nick Gomez,Harley Cokeliss
Frank Marshall,Mark Illsley
John Polson,Jesse Peretz
Richard Williams,Dominique OtheninGirard
Wayne Wang,Tara Subkoff
Kevin Smith,Enrique Begne
Richard Attenborough,Vicky Jewson
Werner Herzog,Greg Marcks
István Szabó,Marc Forby
Brad Furman,Noah Buschel
Chris Roberts,Jonas Åkerlund
Dean DeBlois,Myles Berkowitz
Jonathan Demme,Christopher Scott Cherot
Charles HermanWurmfeld,Christine Jeffs
Michael Dougherty,Joel Edgerton
Lars von Trier,Antonia Bird
Daisy von Scherler Mayer,Paul Schrader
Luis Mandoki,Marcio Garcia
Hugh Hudson,Amanda Gusack
Callie Khouri,Nicholas Fackler
Tyler Perry,Don Coscarelli
Dennie Gordon,Hao Ning
Sidney Lumet,Sam Peckinpah
Rowdy Herrington,Vic Sarin
John Stockwell,Jamal Hill
Bruce Beresford,Tay Garnett
Nimród Antal,Jason Stone
Neil LaBute,Jake Goldberger
George Tillman Jr.,Damien Chazelle
Thea Sharrock,Ian Fitzgibbon
Michael O. Sajbel,Russell Holt
Rawson Marshall Thurber,Adam Green
James Mather,Sacha Bennett
Nora Ephron,Hal Haberman
Stephen Frears,Phil Morrison
Tobe Hooper,Michael Landon Jr.
Chris Roberts,Mike Figgis
Quentin Tarantino,Paul Bartel
Edgar Wright,Joe Swanberg
Jerry Jameson,Don Taylor
Patricia Riggen,Eugenio Derbez
Jim Field Smith,Bob Gosse
Gillian Armstrong,Terence Davies
Katsuhiro Ôtomo,Thomas Vinterberg
Steve Pink,Craig Moss
Damien Dante Wayans,Michael Tiddes
Harald Zwart,Panos Cosmatos
Stefan Ruzowitzky,John Turturro
Jon Amiel,Jonathan Parker
