source,target
Steven Spielberg,Bibo Bergeron
Edward Zwick,Carlos Saldanha
Joseph Kosinski,Timur Bekmambetov
Peter Jackson,Paul W.S. Anderson
Shane Black,Brian De Palma
Dan Scanlon,Dennis Dugan
Robert Stromberg,Florian Henckel von Donnersmarck
Mike Mitchell,Simon West
Chris Miller,Frank Coraci
Dean Parisot,Paul Verhoeven
Bryan Singer,Neil Burger
Peter Berg,Kathryn Bigelow
Stephen Sommers,Pitof
David Fincher,Tony Scott
Ang Lee,Robert Schwentke
NA,Phillip Noyce
Rob Marshall,Nancy Meyers
Ridley Scott,Paul W.S. Anderson
Brett Ratner,Brian De Palma
Mike Mitchell,Spike Jonze
David Fincher,Paul Weitz
Matthew Vaughn,Tony Scott
Jon Turteltaub,Peter Chelsom
Ang Lee,Carlos Saldanha
Martin Campbell,Walt Becker
Jon Turteltaub,Dominic Sena
Jonathan Liebesman,Dave Green
Ridley Scott,Kevin Lima
Mike Newell,Renny Harlin
Rob Cohen,Yimou Zhang
Andrew Adamson,Sarah Smith
Ridley Scott,Daniel Espinosa
David Fincher,Quentin Tarantino
Jon Turteltaub,Paul Weitz
Wolfgang Petersen,Tony Scott
Ang Lee,John McTiernan
Zack Snyder,Tarsem Singh
Jon Favreau,Luc Besson
Eric Darnell,Michael Mann
McG,Sydney Pollack
Oliver Stone,Ron Clements
Christopher McQuarrie,Roger Spottiswoode
Tim Burton,Paul W.S. Anderson
Chris Miller,Paul Weitz
Ron Howard,Jan de Bont
Ang Lee,John Woo
Roland Emmerich,John Lee Hancock
Brad Bird,Brad Silberling
Shawn Levy,Ron Clements
Jonathan Liebesman,Noam Murro
NA,Carlos Saldanha
Christopher Nolan,Adam Shankman
Peter Berg,Roger Allers
Steven Spielberg,Timur Bekmambetov
Justin Lin,Phil Lord
Ron Howard,Frank Coraci
Kenneth Branagh,Len Wiseman
Breck Eisner,John Woo
Joseph Kosinski,Gary Ross
Gore Verbinski,Albert Hughes
Rob Marshall,Edgar Wright
Dan Scanlon,Genndy Tartakovsky
Michael Bay,Paul W.S. Anderson
Rob Letterman,Mark Waters
David Fincher,Chris Wedge
Jon Turteltaub,Simon West
NA,Paul Verhoeven
